Major Version,Major Version Released,Supported,Current Minor,Minor Version Released,End of Support
18,2025-09-25,Yes,18.2,2026-02-09,2030-11-14
17,2024-09-26,Yes,17.8,2026-02-09,2029-11-08
16,2023-09-14,Yes,16.12,2026-02-09,2028-11-09
15,2022-10-13,Yes,15.16,2026-02-09,2027-11-11
14,2021-09-30,Yes,14.21,2026-02-09,2026-11-12
13,2020-09-24,No,13.23,2025-11-10,2025-11-13
12,2019-10-03,No,12.22,2024-11-18,2024-22-21
